TANGGAL,ISPU_PM10,ISPU_PM2_5,ISPU_SO2,ISPU_CO,ISPU_O3,ISPU_NO2,STATUS_BY_PM10,STATUS_BY_PM2,STATUS_BY_SO2,STATUS_BY_CO,STATUS_BY_O3,STATUS_BY_NO2,OVERALL_ISPU_STATUS
6/26/2024,59,92,57,14,11,78,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
6/27/2024,53,77,57,11,12,60,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
6/28/2024,52,72,58,19,9,100,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
6/29/2024,62,88,59,19,8,95,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
6/30/2024,55,67,58,10,12,66,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
7/1/2024,59,92,57,14,13,48,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
7/2/2024,55,81,57,13,14,40,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
7/3/2024,72,110,58,21,14,78,SEDANG,TIDAK SEHAT,SEDANG,BAIK,BAIK,SEDANG,TIDAK SEHAT
7/4/2024,61,82,57,16,14,63,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
7/5/2024,53,72,58,13,11,59,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
7/6/2024,52,63,58,11,8,64,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
7/7/2024,21,34,57,11,5,85,BAIK,BAIK,SEDANG,BAIK,BAIK,SEDANG,SEDANG
7/8/2024,,,,,,,,,,,,,
7/9/2024,,,,,,,,,,,,,
7/10/2024,,,,,,,,,,,,,
7/11/2024,,,,,,,,,,,,,
7/12/2024,,,,,,,,,,,,,
7/13/2024,,,,,,,,,,,,,
7/14/2024,,,,,,,,,,,,,
7/15/2024,60,94,58,11,21,30,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
7/16/2024,58,87,58,9,21,27,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
7/17/2024,62,97,58,12,19,29,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
7/18/2024,63,93,58,10,19,28,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
7/19/2024,56,84,58,8,20,25,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
7/20/2024,58,92,59,9,20,29,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
7/21/2024,58,88,59,9,20,29,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
7/22/2024,53,82,58,9,24,26,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
7/23/2024,56,87,60,9,25,26,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
7/24/2024,57,86,60,8,25,34,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
7/25/2024,49,74,58,7,21,39,BAIK,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
7/26/2024,52,80,58,9,18,38,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
7/27/2024,61,91,59,9,20,32,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
7/28/2024,63,103,59,10,21,33,SEDANG,TIDAK SEHAT,SEDANG,BAIK,BAIK,BAIK,TIDAK SEHAT
7/29/2024,62,103,59,9,21,33,SEDANG,TIDAK SEHAT,SEDANG,BAIK,BAIK,BAIK,TIDAK SEHAT
7/30/2024,55,94,59,9,23,34,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
7/31/2024,63,103,59,11,23,35,SEDANG,TIDAK SEHAT,SEDANG,BAIK,BAIK,BAIK,TIDAK SEHAT
8/1/2024,62,101,59,10,21,42,SEDANG,TIDAK SEHAT,SEDANG,BAIK,BAIK,BAIK,TIDAK SEHAT
8/2/2024,59,88,59,10,18,48,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
8/3/2024,34,67,58,12,5,56,BAIK,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
8/4/2024,45,70,58,15,5,62,BAIK,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
8/5/2024,50,74,58,12,5,52,BAIK,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
8/6/2024,53,83,58,10,7,42,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
8/7/2024,59,93,58,10,7,35,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
